slide_name,permissible_angle,slide_height_um,slide_width_um,scanner_name,actual_angle,time_stamp,slide_id,load_identifier,offset_pos_x_um,offset_pos_y_um,row_index,col_index,row_col
H01CBA03P_105184,2.1297465007352807,75021.804,25350.0,H01CBA03P,0.18787587430581795,2021-04-20T17:50:06,105184,CS002-2-1618913997118,912.5,1743.75,1,4,"1,4"
H01CBA01P_105068,1.5070478019197249,74829.144,25779.0,H01CBA01P,0.21975300207020132,2021-04-20T17:51:06,105068,CS002-3-1618913997119,487.5,3412.5,1,8,"1,8"
H01CBA03P_105185,1.6623615273772445,74906.208,25974.0,H01CBA03P,-0.031360913067892925,2021-04-20T17:54:56,105185,CS002-2-1618913997118,168.75,1937.5,1,5,"1,5"
H01CBA01P_105069,1.5801018115683103,75830.976,25662.0,H01CBA01P,0.1239139420438786,2021-04-20T17:55:33,105069,CS002-3-1618913997119,837.5,3531.25,1,9,"1,9"
H01CBA03P_105186,1.5722863388951136,74713.548,26091.0,H01CBA03P,-0.06288357318134465,2021-04-20T17:58:31,105186,CS002-2-1618913997118,212.5,1862.5,1,6,"1,6"
H01CBA01P_105070,1.690256986666504,75060.336,25545.0,H01CBA01P,0.28166977296826373,2021-04-20T17:59:35,105070,CS002-3-1618913997119,412.5,3412.5,1,10,"1,10"
H01CBA03P_105187,2.102734465657421,74867.67599999999,25389.0,H01CBA03P,-0.5334175888828244,2021-04-20T18:02:11,105187,CS002-2-1618913997118,675.0,1743.75,1,7,"1,7"
H01CBA01P_105071,1.5086018183980185,74752.08,25779.0,H01CBA01P,0.09427676206746934,2021-04-20T18:05:25,105071,CS002-3-1618913997119,606.25,3450.0,1,11,"1,11"
H01CBA03P_105188,2.1666477658130705,74829.144,25311.0,H01CBA03P,-0.09417966953706762,2021-04-20T18:06:04,105188,CS002-2-1618913997118,56.25,1550.0,1,8,"1,8"
H01CBA01P_105080,1.7759818151439808,75407.124,25389.0,H01CBA01P,0.34268049551977753,2021-04-20T19:01:29,105080,CS002-3-1618913997119,643.75,3293.75,1,20,"1,20"
H01CBA03P_105196,2.068141975328742,74983.272,25428.0,H01CBA03P,-0.03132868191044697,2021-04-20T19:04:30,105196,CS002-2-1618913997118,325.0,1662.5,1,16,"1,16"
H01CBA01P_105081,1.5971489042567955,75021.804,25662.0,H01CBA01P,-0.18787587430581795,2021-04-20T19:07:36,105081,CS002-3-1618913997119,450.0,3487.5,1,21,"1,21"
H01CBA01P_105082,1.501633869122567,75098.868,25779.0,H01CBA01P,0.2815252516545916,2021-04-20T19:11:00,105082,CS002-3-1618913997119,681.25,3643.75,1,22,"1,22"
H01CBA03P_105197,2.0670792943046172,75021.804,25467.0,H01CBA03P,0.7202085268620132,2021-04-20T19:14:01,105197,CS002-2-1618913997118,-62.5,1625.0,1,17,"1,17"
